name,ring,quadrant,isNew,description
Modularity,adopt,techniques,TRUE,Artur Wojciechowski
Embeddable Code Snippets in the docs,trial,techniques,TRUE,
Consumer Driven Contracts,trial,techniques,TRUE,
ADR,adopt,techniques,TRUE,
Tactical Forking,asess,techniques,TRUE,
SonarCube,asess,tools,TRUE,"SonarQube is tool for static code analysis. It helps detect bugs, code smells, security vulnerabilities and technical dept. It supports many languages. Generally SonarQube allows to keep good code quality."
Obsidian,asess,tools,TRUE,
Cucumber,adopt,tools,TRUE,
Just,asess,tools,TRUE,
Wasm,asess,platform,TRUE,
Cloudflare API,asess,platform,TRUE,
TravisCI,hold,platform,TRUE,
JavaScript,hold,languages and frameworks,TRUE,
Deno,trial,languages and frameworks,TRUE,
Rust SDK,asess,languages and frameworks,TRUE,
Kotlin MultiMobile,asess,languages and frameworks,TRUE,
Electron,asess,languages and frameworks,TRUE,